GUID,Atomic Number,Name,Symbol,Rarity Tier,Rarity Number,Color,Color Emoji,State at STP,Atomic Weight,Price per Gram (USD),Price per Gram (RMB),Rarity Ranking Earth,Rarity Ranking Universe,Electron Configuration,Electronegativity,Melting Point (°C),Boiling Point (°C),Density (g/cm³),Year of Discovery,Common Uses
element_001_hydrogen,1,Hydrogen,H,Common,2,Colorless,-,Gas,1.01,0.02,0.14,10,1,-,2.2,-259.16,-252.87,0.00008988,1766,"Fuel, industrial chemical, energy storage"
element_002_helium,2,Helium,He,Uncommon,3,Colorless,-,Gas,4,0.15,1.09,71,2,-,0,-272.2,-268.93,0.0001785,1895,"Balloons, cryogenics, welding"
element_003_lithium,3,Lithium,Li,Uncommon,3,Silvery-White,-,Solid,6.94,45,323,31,26,-,0.98,180.5,1342,0.534,1817,"Batteries, ceramics, lubricants"
element_004_beryllium,4,Beryllium,Be,Rare,4,Steel-Grey,-,Solid,9.01,850,"6,115.00",48,44,-,1.57,1287,2470,1.85,1797,"Alloys, nuclear reactors, aerospace"
element_005_boron,5,Boron,B,Uncommon,3,Black,-,Solid,10.81,6,43,38,17,-,2.04,2075,3927,2.34,1808,"Glass, ceramics, semiconductors"
element_006_carbon,6,Carbon,C,Ubiquitous,1,Black,-,Solid,12.01,0.1,0.72,15,4,-,2.55,3550,4827,2.267,-3750,"Fuel, structural material, organic chemistry"
element_007_nitrogen,7,Nitrogen,N,Common,2,Colorless,-,Gas,14.01,0.01,0.04,29,7,-,3.04,-210,-195.79,0.0012506,1772,"Fertilizers, refrigerants, inert atmosphere"
element_008_oxygen,8,Oxygen,O,Ubiquitous,1,Colorless,-,Gas,16,0.01,0.05,1,3,-,3.44,-218.79,-182.95,0.001429,1774,"Respiration, combustion, medical"
element_009_fluorine,9,Fluorine,F,Uncommon,3,Pale Yellow,-,Gas,19,2,14,54,18,-,3.98,-219.62,-188.12,0.0016966,1886,"Refrigerants, propellants, etching"
element_010_neon,10,Neon,Ne,Rare,4,Colorless,-,Gas,20.18,330,"2,375.00",78,5,-,0,-248.59,-246.08,0.0008999,1898,"Neon lights, lasers"
element_011_sodium,11,Sodium,Na,Common,2,Silvery-White,-,Solid,22.99,2.5,18,6,11,-,0.93,97.72,882.9,0.968,1807,"Salt, streetlights, nuclear reactors"
element_012_magnesium,12,Magnesium,Mg,Common,2,Shiny Grey,-,Solid,24.31,3,22,8,9,-,1.31,650,1091,1.738,1755,"Alloys, flares, medicine"
element_013_aluminium,13,Aluminium,Al,Ubiquitous,1,Silvery,-,Solid,26.98,0.02,0.14,3,12,-,1.61,660.32,2519,2.7,1825,"Aircraft, packaging, construction"
element_014_silicon,14,Silicon,Si,Common,2,Grey,-,Solid,28.09,0.5,3.6,2,10,-,1.9,1414,3265,2.329,1823,"Semiconductors, glass, ceramics"
element_015_phosphorus,15,Phosphorus,P,Uncommon,3,White/Waxy,-,Solid,30.97,0.3,2.2,11,16,-,2.19,44.1,280.5,1.82,1669,"Fertilizers, detergents, matches"
element_016_sulfur,16,Sulfur,S,Common,2,Yellow,-,Solid,32.06,0.05,0.36,16,15,-,2.58,115.21,444.6,2.07,-1000,"Sulfuric acid, fertilizers, gunpowder"
element_017_chlorine,17,Chlorine,Cl,Uncommon,3,Greenish-Yellow,-,Gas,35.45,0.1,0.72,21,13,-,3.16,-101.5,-34.04,0.003214,1774,"Disinfectant, PVC, bleach"
element_018_argon,18,Argon,Ar,Uncommon,3,Colorless,-,Gas,39.95,0.5,3.6,56,14,-,0,-189.34,-185.84,0.0017837,1894,"Welding, lighting, inert atmosphere"
element_019_potassium,19,Potassium,K,Common,2,Silvery-White,-,Solid,39.1,30,216,7,19,-,0.82,63.5,759,0.862,1807,"Fertilizers, soap, glass"
element_020_calcium,20,Calcium,Ca,Common,2,Dull Silver,-,Solid,40.08,0.2,1.44,5,20,-,1,842,1484,1.55,1808,"Bones, cement, antacids"
element_021_scandium,21,Scandium,Sc,Rare,4,Silvery-White,-,Solid,44.96,"4,000.00","28,770.00",50,45,-,1.36,1541,2836,2.989,1879,"Aerospace, sports equipment, lighting"
element_022_titanium,22,Titanium,Ti,Common,2,Silvery,-,Solid,47.87,6,43,9,21,-,1.54,1668,3287,4.506,1791,"Aerospace, medical implants, pigments"
element_023_vanadium,23,Vanadium,V,Uncommon,3,Silvery-Grey,-,Solid,50.94,8,57,22,22,-,1.63,1910,3407,6.11,1830,"Steel alloys, catalysts"
element_024_chromium,24,Chromium,Cr,Common,2,Silvery,-,Solid,52,0.5,3.6,23,23,-,1.66,1857,2671,7.19,1797,"Stainless steel, plating, pigments"
element_025_manganese,25,Manganese,Mn,Common,2,Metallic Grey,-,Solid,54.94,0.08,0.58,12,24,-,1.55,1246,2061,7.21,1774,"Steel alloys, batteries, fertilizers"
element_026_iron,26,Iron,Fe,Ubiquitous,1,Lustrous Metallic,-,Solid,55.85,0.01,0.04,4,6,-,1.83,1538,2862,7.874,-1000,"Steel, construction, magnets"
element_027_cobalt,27,Cobalt,Co,Uncommon,3,Metallic Blue-Grey,-,Solid,58.93,20,144,30,25,-,1.88,1495,2927,8.9,1735,"Batteries, magnets, pigments"
element_028_nickel,28,Nickel,Ni,Common,2,Lustrous,-,Solid,58.69,0.02,0.14,24,27,-,1.91,1455,2913,8.908,1751,"Stainless steel, coins, batteries"
element_029_copper,29,Copper,Cu,Ubiquitous,1,Reddish-Orange,-,Solid,63.55,0.01,0.06,26,29,-,1.9,1084.62,2562,8.96,-3500,"Electrical wiring, plumbing, coins"
element_030_zinc,30,Zinc,Zn,Common,2,Bluish-White,-,Solid,65.38,0,0.03,25,30,-,1.65,419.53,907,7.14,1746,"Galvanizing, batteries, brass"
