id,name,known_name,gender,birth_date,birth_city,birth_country,death_date,death_city,death_country,prize_number,year,category,share,motivation,prize_amount,prize_amount_adjusted,sort_order
745,A. Michael Spence,A. Michael Spence,male,1943-00-00,"Montclair, NJ",USA,,,,1,2001,Economic Sciences,,for their analyses of markets with asymmetric information,10000000,15547541,2
102,Aage Niels Bohr,Aage N. Bohr,male,1922-06-19,Copenhagen,Denmark,2009-09-08,Copenhagen,Denmark,1,1975,Physics,,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,630000,4304697,1
779,Aaron Ciechanover,Aaron Ciechanover,male,1947-10-01,Haifa,British Protectorate of Palestine,,,,1,2004,Chemistry,,for the discovery of ubiquitin-mediated protein degradation,10000000,14874529,1
259,Aaron Klug,Aaron Klug,male,1926-08-11,Zelvas,Lithuania,2018-11-20,,,1,1982,Chemistry,,for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes,1150000,3923237,1
1004,Abdulrazak Gurnah,Abdulrazak Gurnah,male,1948-00-00,,,,,,1,2021,Literature,,for his uncompromising and compassionate penetration of the effects of colonialism and the fate of the refugee in the gulf between cultures and continents,10000000,12096939,1
114,Abdus Salam,Abdus Salam,male,1926-01-29,Jhang Maghiāna,India,1996-11-21,Oxford,United Kingdom,1,1979,Physics,,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current",800000,3778486,2
982,Abhijit Banerjee,Abhijit Banerjee,male,1961-02-21,Mumbai,India,,,,1,2019,Economic Sciences,,for their experimental approach to alleviating global poverty,9000000,11178104,1
981,Abiy Ahmed Ali,Abiy Ahmed Ali,male,1976-08-15,Beshasha,Ethiopia,,,,1,2019,Peace,,"for his efforts to achieve peace and international cooperation, and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea",9000000,11178104,1
843,Ada E. Yonath,Ada E. Yonath,female,1939-06-22,Jerusalem,British Mandate of Palestine,,,,1,2009,Chemistry,,for studies of the structure and function of the ribosome,10000000,13857393,3
866,Adam G. Riess,Adam G. Riess,male,1969-12-16,"Washington, D.C.",USA,,,,1,2011,Physics,,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae,10000000,13335208,3
199,Adolf Friedrich Johann Butenandt,Adolf Butenandt,male,1903-03-24,Bremerhaven-Lehe,Germany,1995-01-18,Munich,Germany,1,1939,Chemistry,,for his work on sex hormones,148822,5346318,1
164,Johann Friedrich Wilhelm Adolf von Baeyer,Adolf von Baeyer,male,1835-10-31,Berlin,Prussia,1917-08-20,Starnberg,Germany,1,1905,Chemistry,,"in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds",138089,9629677,1
185,Adolf Otto Reinhold Windaus,Adolf Windaus,male,1876-12-25,Berlin,Germany,1959-06-09,Göttingen,West Germany,1,1928,Chemistry,,for the services rendered through his research into the constitution of the sterols and their connection with the vitamins,156939,5637915,1
541,Adolfo Pérez Esquivel,Adolfo Pérez Esquivel,male,1931-11-26,Buenos Aires,Argentina,,,,1,1980,Peace,,"for being a source of inspiration to repressed people, especially in Latin America",880000,3654081,1
292,Ahmed H. Zewail,Ahmed Zewail,male,1946-02-26,Damanhur,Egypt,2016-08-02,"Pasadena, CA",USA,1,1999,Chemistry,,for his studies of the transition states of chemical reactions using femtosecond spectroscopy,7900000,12707531,1
853,Akira Suzuki,Akira Suzuki,male,1930-09-12,Mukawa,Japan,,,,1,2010,Chemistry,,for palladium-catalyzed cross couplings in organic synthesis,10000000,13681477,3
978,Akira Yoshino,Akira Yoshino,male,1948-01-30,Suita,Japan,,,,1,2019,Chemistry,,for the development of lithium-ion batteries,9000000,11178104,3
819,Albert Arnold (Al) Gore  Jr.,Al Gore,male,1948-03-31,"Washington, D.C.",USA,,,,1,2007,Peace,,"for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change",10000000,14291742,2
1012,Alain Aspect,Alain Aspect,male,1947-06-15,Agen,France,,,,1,2022,Physics,,"for experiments with entangled photons, establishing the violation of Bell inequalities and  pioneering quantum information science",10000000,11162900,1
729,Alan J. Heeger,Alan Heeger,male,1936-01-22,"Sioux City, IA",USA,,,,1,2000,Chemistry,,for the discovery and development of conductive polymers,9000000,14331095,1
376,Alan Lloyd Hodgkin,Alan Hodgkin,male,1914-02-05,Banbury,United Kingdom,1998-12-20,Cambridge,United Kingdom,1,1963,Physiology or Medicine,,for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane,265000,3590371,2
730,Alan G. MacDiarmid,Alan MacDiarmid,male,1927-04-14,Masterton,New Zealand,2007-02-07,"Drexel Hill, PA",USA,1,2000,Chemistry,,for the discovery and development of conductive polymers,9000000,14331095,2
11,Albert Abraham Michelson,Albert A. Michelson,male,1852-12-19,Strelno,Prussia,1931-05-09,"Pasadena, CA",USA,1,1907,Physics,,for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid,138796,8894198,1
628,Albert Camus,Albert Camus,male,1913-11-07,Mondovi,French Algeria,1960-01-04,Sens,France,1,1957,Literature,,"for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times",208629,3411444,1
403,Albert Claude,Albert Claude,male,1898-08-24,Longlier,Belgium,1983-05-22,Brussels,Belgium,1,1974,Physiology or Medicine,,for their discoveries concerning the structural and functional organization of the cell,550000,4126741,1
