Name,Nickname,extended_name,Year,Month,Day,Link to Profile,Unnamed: 5,ZODIAC_EMOJI,ZODIAC,HOROSCOPE,ANIMAL_EMOJI,ANIMAL,ELEMENT,YIN_YANG,HEAVENLY_STEM,EARTHLY_BRANCH,GENDER,ETHNICITY,BDAY,BIRTHDAY,DOB,AGE
1984,George Orwell,1984 by George Orwell,1949,6,8,https://www.goodreads.com/book/show/5470,,📚,Libra,"Classic dystopian novel exploring totalitarianism and surveillance",📖,Book,Paper,Yang,庚,午,Literature,English,1949-06-08,1949-06-08,1949-06-08,74
A Clockwork Orange,Anthony Burgess,A Clockwork Orange by Anthony Burgess,1962,3,1,https://www.goodreads.com/book/show/227463,,📚,Aries,"Controversial novel about violence and free will",📖,Book,Fire,Yang,壬,寅,Literature,English,1962-03-01,1962-03-01,1962-03-01,61
The Catcher in the Rye,J.D. Salinger,The Catcher in the Rye by J.D. Salinger,1951,7,16,https://www.goodreads.com/book/show/5107,,📚,Cancer,"Coming-of-age story about teenage alienation",📖,Book,Water,Yin,辛,卯,Literature,English,1951-07-16,1951-07-16,1951-07-16,72
Animal Farm,George Orwell,Animal Farm by George Orwell,1945,8,17,https://www.goodreads.com/book/show/7613,,📚,Leo,"Political allegory about revolution and power",📖,Book,Fire,Yang,乙,酉,Literature,English,1945-08-17,1945-08-17,1945-08-17,78
A Streetcar Named Desire,Tennessee Williams,A Streetcar Named Desire by Tennessee Williams,1947,12,3,https://www.goodreads.com/book/show/20089,,📚,Sagittarius,"Play exploring desire and mental fragility",📖,Book,Fire,Yang,丁,亥,Literature,English,1947-12-03,1947-12-03,1947-12-03,76
Brave New World,Aldous Huxley,Brave New World by Aldous Huxley,1932,1,1,https://www.goodreads.com/book/show/5129,,📚,Capricorn,"Dystopian novel about technological control",📖,Book,Earth,Yang,壬,申,Literature,English,1932-01-01,1932-01-01,1932-01-01,91
The Bell Jar,Sylvia Plath,The Bell Jar by Sylvia Plath,1963,1,14,https://www.goodreads.com/book/show/6514,,📚,Capricorn,"Semi-autobiographical novel about mental health",📖,Book,Earth,Yin,癸,卯,Literature,English,1963-01-14,1963-01-14,1963-01-14,60
The Fellowship of the Ring,J.R.R. Tolkien,The Fellowship of the Ring by J.R.R. Tolkien,1954,7,29,https://www.goodreads.com/book/show/34,,📚,Leo,"Epic fantasy adventure",📖,Book,Fire,Yang,甲,午,Literature,English,1954-07-29,1954-07-29,1954-07-29,69
The Lion the Witch and the Wardrobe,C.S. Lewis,The Lion the Witch and the Wardrobe by C.S. Lewis,1950,10,16,https://www.goodreads.com/book/show/100915,,📚,Libra,"Children's fantasy adventure",📖,Book,Air,Yang,庚,寅,Literature,English,1950-10-16,1950-10-16,1950-10-16,73
The Wide Window,Lemony Snicket,The Wide Window by Lemony Snicket,2000,2,1,https://www.goodreads.com/book/show/78489,,📚,Aquarius,"Children's adventure series",📖,Book,Air,Yang,庚,辰,Literature,English,2000-02-01,2000-02-01,2000-02-01,23
Charlotte's Web,E.B. White,Charlotte's Web by E.B. White,1952,10,15,https://www.goodreads.com/book/show/24178,,📚,Libra,"Children's classic about friendship",📖,Book,Air,Yang,壬,辰,Literature,English,1952-10-15,1952-10-15,1952-10-15,71
Watership Down,Richard Adams,Watership Down by Richard Adams,1972,11,1,https://www.goodreads.com/book/show/76620,,📚,Scorpio,"Epic rabbit adventure story",📖,Book,Water,Yang,壬,子,Literature,English,1972-11-01,1972-11-01,1972-11-01,51
Confessions of a Shopaholic,Sophie Kinsella,Confessions of a Shopaholic by Sophie Kinsella,2000,2,1,https://www.goodreads.com/book/show/233145,,📚,Aquarius,"Chick lit comedy",📖,Book,Air,Yin,辛,巳,Literature,English,2000-02-01,2000-02-01,2000-02-01,23
The Devil Wears Prada,Lauren Weisberger,The Devil Wears Prada by Lauren Weisberger,2003,4,1,https://www.goodreads.com/book/show/8156,,📚,Aries,"Fashion industry novel",📖,Book,Fire,Yin,癸,未,Literature,English,2003-04-01,2003-04-01,2003-04-01,20
Shopaholic Ties the Knot,Sophie Kinsella,Shopaholic Ties the Knot by Sophie Kinsella,2001,2,1,https://www.goodreads.com/book/show/233147,,📚,Aquarius,"Romantic comedy sequel",📖,Book,Air,Yin,辛,巳,Literature,English,2001-02-01,2001-02-01,2001-02-01,22
Something Borrowed,Emily Giffin,Something Borrowed by Emily Giffin,2004,6,1,https://www.goodreads.com/book/show/7738,,📚,Gemini,"Friendship and romance drama",📖,Book,Air,Yang,甲,申,Literature,English,2004-06-01,2004-06-01,2004-06-01,19
Remember Me?,Sophie Kinsella,Remember Me? by Sophie Kinsella,2008,2,1,https://www.goodreads.com/book/show/1087880,,📚,Aquarius,"Amnesia romantic comedy",📖,Book,Air,Yang,戊,子,Literature,English,2008-02-01,2008-02-01,2008-02-01,15
The Gatecrasher,Madeline Wickham,The Gatecrasher by Madeline Wickham,1998,1,1,https://www.goodreads.com/book/show/233150,,📚,Capricorn,"Social comedy novel",📖,Book,Earth,Yin,丁,丑,Literature,English,1998-01-01,1998-01-01,1998-01-01,25
Shopaholic & Baby,Sophie Kinsella,Shopaholic & Baby by Sophie Kinsella,2007,2,1,https://www.goodreads.com/book/show/7736,,📚,Aquarius,"Pregnancy comedy sequel",📖,Book,Air,Yin,丁,亥,Literature,English,2007-02-01,2007-02-01,2007-02-01,16
Chasing Harry Winston,Lauren Weisberger,Chasing Harry Winston by Lauren Weisberger,2008,5,1,https://www.goodreads.com/book/show/2168770,,📚,Taurus,"Friendship and jewelry novel",📖,Book,Earth,Yang,戊,子,Literature,English,2008-05-01,2008-05-01,2008-05-01,15
The Fault in Our Stars,John Green,The Fault in Our Stars by John Green,2012,1,10,https://www.goodreads.com/book/show/11870085,,📚,Capricorn,"Young adult cancer romance",📖,Book,Earth,Yang,壬,辰,Literature,English,2012-01-10,2012-01-10,2012-01-10,11
The Time Traveler's Wife,Audrey Niffenegger,The Time Traveler's Wife by Audrey Niffenegger,2003,1,1,https://www.goodreads.com/book/show/18619684,,📚,Capricorn,"Science fiction romance",📖,Book,Earth,Yin,癸,未,Literature,English,2003-01-01,2003-01-01,2003-01-01,20
